"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"POLR3E",4.41725108381311,3.15035065028787,4.10558168694512,4.0428200658269e-05,0.000125057230231391,1.90716843647603
"ADGRL3",4.41722000856953,7.14750872357115,4.10555280428743,4.04332501061492e-05,0.000125057230231391,1.90705863893941
"MTHFR",4.41706216784145,2.65023730070487,4.10540610037806,4.04589070482167e-05,0.000125100121713507,1.90650095537746
"CES4A",4.4169928616313,4.94267696733935,4.10534168422833,4.0470177623448e-05,0.000125100121713507,1.90625608866392
"OSTF1",4.41668777255926,4.05369012456436,4.10505812142348,4.05198266411418e-05,0.000125217920551521,1.90517821999775
"LMTK2",4.41644523594547,3.64986714156728,4.10483269754309,4.05593373482637e-05,0.000125304330930712,1.9043214000261
"CNOT4",4.41594494095784,5.17176402425393,4.10436770202885,4.06409540030932e-05,0.000125520737527345,1.90255413412111
"TMED4",4.41565007393161,3.94187129471954,4.10409364002965,4.06891307179162e-05,0.000125561848851339,1.90151262553012
"SMIM13",4.41558019949772,2.64934811969863,4.10402869574853,4.07005550608441e-05,0.000125561848851339,1.90126583015748
"RFX4",4.41558019949772,2.64934811969863,4.10402869574853,4.07005550608443e-05,0.000125561848851339,1.90126583015747
"AACS",4.41558019949772,2.64934811969863,4.10402869574853,4.07005550608443e-05,0.000125561848851339,1.90126583015747
"GPALPP1",4.4152900639297,4.3101380858015,4.10375903136853,4.07480242669193e-05,0.000125672559208662,1.90024111778909
"BTBD7",4.41500649148041,5.7823971652357,4.1034954670312,4.07944704434719e-05,0.000125780052376149,1.8992396503709
"UBE3D",4.414406462136,3.94112512764218,4.10293777414907,4.08929145941035e-05,0.000126037617347313,1.89712079252709
"SPIN1",4.41435578249587,5.55229093052633,4.10289067032852,4.0901239693999e-05,0.000126037617347313,1.89694184288053
"ADGRB3",4.41425252233357,8.22215397587126,4.1027946959265,4.09182071271554e-05,0.000126054102024315,1.89657723793643
"KIAA0196",4.41361070707438,4.80913047168831,4.10219816543173,4.10238183624145e-05,0.000126314623772103,1.89431122108446
"PTDSS1",4.41359711072065,2.64815826643239,4.10218552840028,4.10260584491143e-05,0.000126314623772103,1.8942632208557
"TMED2",4.41342666167457,4.30902004444842,4.10202710578203,4.10541508757681e-05,0.000126365258723995,1.89366148433258
"LINC00894",4.4130589603568,4.44031662657466,4.10168534848369,4.11148154569742e-05,0.000126482383433494,1.89236346695888
"SFSWAP",4.41298885314832,5.39371986005383,4.10162018785193,4.11263916276052e-05,0.000126482383433494,1.89211599474035
"LINC01322",4.41295844863171,3.4402563195396,4.10159192859652,4.11314130124975e-05,0.000126482383433494,1.89200867071969
"CR1L",4.41291353086573,3.64774811851944,4.10155018010771,4.11388323628387e-05,0.000126482383433494,1.89185011815447
"SEPT7-AS1",4.41262702561926,3.14757621537156,4.10128388990351,4.11861861310854e-05,0.000126546353088988,1.89083883820822
"DPY19L3",4.41260249124105,3.64756149474463,4.10126108660526,4.11902435919661e-05,0.000126546353088988,1.89075224206184
"SH3BP5L",4.41240332025167,2.647441992151,4.10107596858706,4.12231962501936e-05,0.000126546353088988,1.89004926916382
"ARHGEF4",4.41239963112197,4.23240227939434,4.10107253975246,4.1223806849232e-05,0.000126546353088988,1.89003624870039
"R3HDM2",4.41238444628168,4.80839471521269,4.1010584263138,4.12263202285369e-05,0.000126546353088988,1.88998265523774
"SNX14",4.41236452218998,4.43989996367456,4.10103990801261,4.12296182644766e-05,0.000126546353088988,1.88991233531365
"CUL3",4.41209969725966,5.0509372793846,4.10079376841956,4.12734785347705e-05,0.000126645147653354,1.88897769455919
